,element_type,osmid,name,public_transport,geometry,lat,lon,icona
3099,node,9471611829,V.le Certosa Via Tibullo,platform,POINT (9.1338969 45.497934),45.497934,9.1338969,
3100,node,9471611830,V.le Certosa Via Gradisca,platform,POINT (9.129927 45.499733),45.499733,9.129927,
3101,node,9471840470,P.za Caneva,platform,POINT (9.161398 45.48772),45.48772,9.161398,
3102,node,9471840471,P.za Firenze,platform,POINT (9.1574974 45.4878441),45.4878441,9.1574974,
3103,node,9471915759,P.za Lega Lombarda,platform,POINT (9.1804236 45.4779961),45.4779961,9.1804236,
3104,node,9471915760,Via Bramante Via Sarpi,platform,POINT (9.1789316 45.4817108),45.4817108,9.1789316,
3105,node,9471915761,P.le Cim. Monumentale Via Bramante,platform,POINT (9.1777629 45.4836553),45.4836553,9.1777629,
3106,node,9471915763,Via Censio Via Induno,platform,POINT (9.1682437 45.4875423),45.4875423,9.1682437,
3107,node,9471915764,P.za Diocleziano,platform,POINT (9.1651699 45.4876212),45.4876212,9.1651699,
3108,node,9472043398,C.so Genova Via Sapeto,platform,POINT (9.1766619 45.4580526),45.4580526,9.1766619,
3109,node,9474161479,Via Gonin Via M. Di Lorenteggio,platform,POINT (9.1186892 45.4410165),45.4410165,9.1186892,
3110,node,9474161480,Via Gonin Via Giordani,platform,POINT (9.1240852 45.4427677),45.4427677,9.1240852,
3111,node,9474161481,San Cristoforo,platform,POINT (9.1302026 45.4447493),45.4447493,9.1302026,
3112,node,9474161482,Via Giambellino Via Odazio,platform,POINT (9.1353142 45.4464034),45.4464034,9.1353142,
3113,node,9474161483,L.go Gelsomini L.go Giambellino,platform,POINT (9.1392172 45.4476499),45.4476499,9.1392172,
3114,node,9474161484,Via Giambellino Via Curio Dentato,platform,POINT (9.1425189 45.4487142),45.4487142,9.1425189,
3115,node,9474161485,Via Brunelleschi,platform,POINT (9.1444887 45.4493553),45.4493553,9.1444887,
3116,node,9474161486,P.za Napoli,platform,POINT (9.1532589 45.4521872),45.4521872,9.1532589,
3117,node,9474161487,Via Solari Via Stendhal,platform,POINT (9.1593059 45.4541985),45.4541985,9.1593059,
3118,node,9474161488,P.za del Rosario,platform,POINT (9.1627891 45.4552809),45.4552809,9.1627891,
3119,node,9474161489,Via Montevideo,platform,POINT (9.165935 45.4562766),45.4562766,9.165935,
3120,node,9474161490,V.le Coni Zugna Via Solari,platform,POINT (9.1686394 45.4570837),45.4570837,9.1686394,
3121,node,9474161491,P.le Cantore,platform,POINT (9.1726685 45.4553188),45.4553188,9.1726685,
3122,node,9474255789,Lorenteggio,platform,POINT (9.1170782 45.4418955),45.4418955,9.1170782,
3123,node,9483807053,Via Pesaro - Via Oroboni,platform,POINT (9.1713108 45.5290627),45.5290627,9.1713108,
3124,node,9486912224,San Cristoforo,platform,POINT (9.1302616 45.444666),45.444666,9.1302616,
3125,node,9486912225,Via Gonin Via Giordani,platform,POINT (9.1234066 45.4424576),45.4424576,9.1234066,
3126,node,9486912226,Via Gonin Via M. di Lorenteggio,platform,POINT (9.1184807 45.440842),45.440842,9.1184807,
3127,node,9487060567,Via Torino Via S. Maria Valle,platform,POINT (9.18301 45.4606668),45.4606668,9.18301,
3128,node,9487060568,C.so Genova Via Ariberto,platform,POINT (9.175424 45.4570889),45.4570889,9.175424,
3129,node,9487060569,P.le Cantore,platform,POINT (9.1720343 45.4553462),45.4553462,9.1720343,
3130,node,9487060570,V.le Coni Zugna Via Solari,platform,POINT (9.1689694 45.4570433),45.4570433,9.1689694,
3131,node,9487060571,Via Montevideo,platform,POINT (9.1661537 45.4562864),45.4562864,9.1661537,
3132,node,9487060572,P.za del Rosario,platform,POINT (9.1628572 45.455203),45.455203,9.1628572,
3133,node,9487060573,Via Solari Via Stendhal,platform,POINT (9.1586374 45.4538476),45.4538476,9.1586374,
3134,node,9487060574,Via Brunelleschi,platform,POINT (9.1434584 45.448947),45.448947,9.1434584,
3135,node,9487060575,L.go Gelsomini L.go Giambellino,platform,POINT (9.1393625 45.4476211),45.4476211,9.1393625,
3136,node,9487060576,Via Giambellino Via Odazio,platform,POINT (9.1344935 45.4460369),45.4460369,9.1344935,
3137,node,9489106792,Via Adriano - Via del Ricordo,platform,POINT (9.2467613 45.5116845),45.5116845,9.2467613,
3138,node,9489394997,P.le Cimitero Maggiore,platform,POINT (9.1207406 45.5032398),45.5032398,9.1207406,
3139,node,9489394998,V.le Certosa Cimitero Maggiore,platform,POINT (9.1222685 45.5033021),45.5033021,9.1222685,
3140,node,9489394999,V.le Certosa Via Giorgini,platform,POINT (9.1246179 45.502217),45.502217,9.1246179,
3141,node,9489395000,V.le Certosa Via Cormons,platform,POINT (9.1268442 45.5012112),45.5012112,9.1268442,
3142,node,9489395001,V.le Certosa Via Gradisca,platform,POINT (9.1292524 45.500118),45.500118,9.1292524,
3143,node,9489395002,V.le Certosa Via Tibullo,platform,POINT (9.1337116 45.4981016),45.4981016,9.1337116,
3144,node,9489395005,Piazzale Accursio,platform,POINT (9.1453533 45.4928229),45.4928229,9.1453533,
3145,node,9489395007,V.le Certosa V.le Serra,platform,POINT (9.1518334 45.4898908),45.4898908,9.1518334,
3146,node,9489395008,P.za Firenze,platform,POINT (9.1570682 45.4879171),45.4879171,9.1570682,
3147,node,9489395009,P.za Caneva,platform,POINT (9.1615476 45.487813),45.487813,9.1615476,
3148,node,9489395010,P.za Diocleziano,platform,POINT (9.1649299 45.4877122),45.4877122,9.1649299,
3149,node,9489395011,Via Cenisio Via Induno,platform,POINT (9.1689351 45.4876029),45.4876029,9.1689351,
3150,node,9489395013,P.le Cim. Monumentale Via Bramante,platform,POINT (9.1777092 45.4838476),45.4838476,9.1777092,
3151,node,9489395014,Via Bramante Via Sarpi,platform,POINT (9.1791013 45.4815171),45.4815171,9.1791013,
3152,node,9489395015,Via Bramante Via Giannone,platform,POINT (9.17992 45.4795702),45.4795702,9.17992,
3153,node,9489395016,P.za Lega Lombarda,platform,POINT (9.1805349 45.478036),45.478036,9.1805349,
3154,node,9490704152,Via Lussu,platform,POINT (9.2443065 45.5173566),45.5173566,9.2443065,
3155,node,9491868997,Via E. De Marchi Via Breda,platform,POINT (9.2113555 45.5064318),45.5064318,9.2113555,
3156,node,9497948304,Via Imbriani Via Scalvini,platform,POINT (9.1693329 45.4992189),45.4992189,9.1693329,
3157,node,9498129791,P.le Negrelli,platform,POINT (9.1394969 45.444239),45.444239,9.1394969,
3158,node,9498129793,P.ta Genova M2,platform,POINT (9.1699328 45.4525487),45.4525487,9.1699328,
3159,node,9498129795,Via L. il Moro Via Pestalozzi,stop_position,POINT (9.1541171 45.4472937),45.4472937,9.1541171,
3160,node,9525581152,Certosa,platform,POINT (9.1383347 45.508596),45.508596,9.1383347,
3161,node,9525601821,Certosa,platform,POINT (9.1379897 45.5086226),45.5086226,9.1379897,
3162,node,9525670315,Via dei Giaggioli - Via Cascina Corba,platform,POINT (9.1302351 45.4520472),45.4520472,9.1302351,
3163,node,9545043130,Viale Sarca Via Chiese,platform,POINT (9.2118601 45.5214068),45.5214068,9.2118601,
3164,node,9545067603,Viale Sarca - via San Glicerio,platform,POINT (9.2106968 45.5194341),45.5194341,9.2106968,
3165,node,9565757000,,platform,POINT (9.1491458 45.4852883),45.4852883,9.1491458,
3166,node,9575563087,Via S. Monica - V.le Testi,platform,POINT (9.2022135 45.5116093),45.5116093,9.2022135,
3167,node,9611795082,,platform,POINT (9.1442944 45.5114547),45.5114547,9.1442944,
3168,node,9626862549,Duomo M1 M3,platform,POINT (9.1869907 45.4643317),45.4643317,9.1869907,
3169,node,9626869393,Piazza 24 maggio,platform,POINT (9.1802493 45.4532175),45.4532175,9.1802493,
3170,node,9626869394,Colonne di San Lorenzo,platform,POINT (9.1808213 45.4568479),45.4568479,9.1808213,
3171,node,9626869395,Carrobio,platform,POINT (9.1811056 45.4595738),45.4595738,9.1811056,
3172,node,9626930589,Via Montegani - Via Neera,platform,POINT (9.1777012 45.4332562),45.4332562,9.1777012,
3173,node,9626942260,Viale Tibaldi - Via Meda,platform,POINT (9.1790118 45.4438375),45.4438375,9.1790118,
3174,node,9626942263,Corso San Gottardo - Via Lagrange,platform,POINT (9.1796609 45.449014),45.449014,9.1796609,
3175,node,9628627535,Colonne di San Lorenzo,platform,POINT (9.1809694 45.4571722),45.4571722,9.1809694,
3176,node,9628627536,Piazza Sant'Eustorgio,platform,POINT (9.1804739 45.4535301),45.4535301,9.1804739,
3177,node,9628627537,Piazza 24 Maggio,platform,POINT (9.1801581 45.4517803),45.4517803,9.1801581,
3178,node,9628627538,Corso San Gottardo - Via Lagrange,platform,POINT (9.1797262 45.4486233),45.4486233,9.1797262,
3179,node,9649426472,Via Filzi Via Adda,platform,POINT (9.1994596 45.4831243),45.4831243,9.1994596,
