,lat,lon
250,45.4906933,9.1654944
251,45.4927853,9.1627624
252,45.4923532,9.1637285
253,45.4718474,9.1066278
254,45.465521,9.1129458
255,45.4636407,9.113934
256,45.4681785,9.1115197
257,45.4702349,9.1093591
258,45.4713897,9.1086977
259,45.4731875,9.1063168
260,45.4741597,9.1073228
261,45.4743074,9.1092861
262,45.4549721,9.1126058
263,45.4558915,9.1129056
264,45.4519226,9.1176319
265,45.445176,9.1206048
266,45.5021661,9.0946146
267,45.5034181,9.094483
268,45.5012788,9.0950491
269,45.5040103,9.0951106
270,45.5052472,9.1011543
271,45.5056876,9.0987764
272,45.5057996,9.0990117
273,45.5053751,9.1012097
274,45.5017976,9.1206426
275,45.5017769,9.120495
276,45.5050415,9.1047155
277,45.5064864,9.0986596
278,45.5057483,9.1017801
279,45.5052291,9.1043921
280,45.504003,9.1086231
281,45.5041685,9.1086901
282,45.512005,9.1372023
283,45.504444,9.1036472
284,45.4623993,9.2236629
285,45.4615473,9.278905
286,45.4813361,9.1455633
287,45.4809352,9.1463264
288,45.4790978,9.1487876
289,45.4793769,9.1481242
290,45.4958727,9.1348837
291,45.497026,9.1308302
292,45.4947508,9.1384912
293,45.4934802,9.1426127
294,45.4917466,9.1474088
295,45.4880323,9.1555703
296,45.4882928,9.1570119
297,45.4937471,9.1420918
298,45.4964433,9.133586
299,45.4974966,9.1297722
300,45.494628,9.1393222
301,45.4921688,9.1473407
302,45.4946679,9.1296107
303,45.4460358,9.1247858
304,45.4472377,9.128501
305,45.4480607,9.1310255
306,45.4508361,9.1333335
307,45.4509676,9.1400081
308,45.4512915,9.1422229
309,45.4530304,9.1464558
310,45.4541983,9.1500101
311,45.4548062,9.1522544
312,45.456813,9.1580819
313,45.4621389,9.1690698
314,45.4625614,9.1738787
315,45.4637771,9.1745549
316,45.4654848,9.1754625
317,45.4674649,9.1767571
318,45.4909366,9.1453486
319,45.4895325,9.1427911
320,45.4914279,9.1475933
321,45.4930654,9.1503513
322,45.4866834,9.1593156
323,45.4785705,9.1444519
324,45.4678306,9.1810251
