,name,geometry,lat,lon
129,,POINT (9.2108415 45.4634242),45.4634242,9.2108415
130,Parcheggio ATM Rogoredo Santa Giulia,POINT (9.2412025 45.4353144),45.4353144,9.2412025
131,,POINT (9.1726071 45.5213214),45.5213214,9.1726071
132,,POINT (9.2858342 45.5022716),45.5022716,9.2858342
133,,POINT (9.1915778 45.4776523),45.4776523,9.1915778
134,Parcheggio Carrefour,POINT (9.2191017 45.4421071),45.4421071,9.2191017
135,Autorimessa Leone,POINT (9.1504773 45.4524043),45.4524043,9.1504773
136,,POINT (9.1665983 45.5021059),45.5021059,9.1665983
137,Parcheggio Privato Palazzo Aporti,POINT (9.2087299 45.4877584),45.4877584,9.2087299
138,,POINT (9.168706 45.4558153),45.4558153,9.168706
139,Garage Elite,POINT (9.1987536 45.4662953),45.4662953,9.1987536
140,Via Manuzio,POINT (9.2007864 45.4791956),45.4791956,9.2007864
141,,POINT (9.1885802 45.4794637),45.4794637,9.1885802
142,,POINT (9.2042179 45.4943475),45.4943475,9.2042179
143,Parking Mascagni,POINT (9.2028105 45.4662136),45.4662136,9.2028105
144,,POINT (9.1879314 45.4746479),45.4746479,9.1879314
145,Parking Smeraldo,POINT (9.1897408 45.4810282),45.4810282,9.1897408
146,Parcheggio Quick Washington,POINT (9.153752 45.4603927),45.4603927,9.153752
147,,POINT (9.1692205 45.4599019),45.4599019,9.1692205
148,,POINT (9.2115614 45.4878243),45.4878243,9.2115614
149,,POINT (9.2026644 45.4685638),45.4685638,9.2026644
150,,POINT (9.2045285 45.4651498),45.4651498,9.2045285
151,,POINT (9.1780292 45.5039469),45.5039469,9.1780292
152,Parcheggio Nerino 6,POINT (9.1837987 45.4616609),45.4616609,9.1837987
153,Borromeo Parking,POINT (9.1828001 45.4634379),45.4634379,9.1828001
154,Parcheggio Esselunga,POINT (9.1649097 45.4859702),45.4859702,9.1649097
155,,POINT (9.1772599 45.4786975),45.4786975,9.1772599
156,,POINT (9.3109548 45.476606),45.476606,9.3109548
157,,POINT (9.2275788 45.5044863),45.5044863,9.2275788
158,,POINT (9.2272623 45.5049976),45.5049976,9.2272623
159,,POINT (9.1507024 45.5000963),45.5000963,9.1507024
160,,POINT (9.1507238 45.5001291),45.5001291,9.1507238
161,,POINT (9.3025967 45.4948402),45.4948402,9.3025967
162,,POINT (9.1676657 45.4284697),45.4284697,9.1676657
163,Carducci Parking,POINT (9.1721932 45.4615125),45.4615125,9.1721932
164,,POINT (9.1939594 45.4500353),45.4500353,9.1939594
165,Mediolanum Parking,POINT (9.1962655 45.4649078),45.4649078,9.1962655
166,,POINT (9.1514072 45.5007685),45.5007685,9.1514072
167,,POINT (9.1021058 45.4775997),45.4775997,9.1021058
168,,POINT (9.158581 45.5279057),45.5279057,9.158581
169,,POINT (9.1521535 45.4675481),45.4675481,9.1521535
